10.1034/j.1600-0412.2003.820107.x	0001-6349
10.1037/0012-1649.38.5.735	1939-0599
10.1037/0012-1649.38.6.958	1939-0599
10.1037/0012-1649.38.6.979	1939-0599
10.1037/0012-1649.39.2.349	1939-0599
10.1037/0012-1649.39.3.387	1939-0599
10.1037/0012-1649.39.3.417	1939-0599
10.1037/0012-1649.39.3.470	1939-0599
10.1037/0012-1649.39.4.635	1939-0599
10.1037/0012-1649.39.5.805	1939-0599
10.1037/0012-1649.40.1.16	1939-0599
10.1037/0012-1649.40.2.140	1939-0599
10.1037/0012-1649.40.2.149	1939-0599
10.1037/0012-1649.40.2.177	1939-0599
10.1037/0012-1649.40.2.244	1939-0599
10.1037/0012-1649.40.3.378	1939-0599
10.1037/0012-1649.40.3.400	1939-0599
10.1037/0012-1649.40.4.488	1939-0599
10.1037/0012-1649.40.4.606	1939-0599
10.1037/0012-1649.40.4.621	1939-0599
10.1037/0012-1649.40.5.805	1939-0599
10.1037/0012-1649.40.6.1081	1939-0599
10.1037/0012-1649.40.6.1148	1939-0599
10.1037/0012-1649.40.6.1159	1939-0599
10.1037/0012-1649.40.6.1173	1939-0599
10.1037/0012-1649.40.6.1188	1939-0599
10.1037/0012-1649.41.1.251	1939-0599
10.1037/0012-1649.41.1.42	1939-0599
10.1037/0012-1649.41.2.319	1939-0599
10.1037/0012-1649.41.2.352	1939-0599
10.1037/0012-1649.41.2.401	1939-0599
10.1037/0012-1649.41.3.529	1939-0599
10.1037/0012-1649.41.3.553	1939-0599
10.1037/0012-1649.41.4.625	1939-0599
10.1037/0012-1649.41.4.636	1939-0599
10.1037/0012-1649.41.6.1003	1939-0599
10.1037/0012-1649.42.1.1	1939-0599
10.1037/0012-1649.42.1.142	1939-0599
10.1037/0012-1649.42.2.207	1939-0599
10.1037/0012-1649.42.2.218	1939-0599
10.1037/0012-1649.42.2.272	1939-0599
10.1037/0012-1649.42.2.283	1939-0599
10.1037/0012-1649.42.2.381	1939-0599
10.1037/0012-1649.42.3.533	1939-0599
10.1037/0012-1649.42.4.714	1939-0599
10.1037/0012-1649.42.5.747	1939-0599
10.1037/0012-1649.42.5.798	1939-0599
10.1037/0012-1649.42.5.888	1939-0599
10.1037/0012-1649.42.6.1103	1939-0599
10.1037/0012-1649.42.6.1278	1939-0599
10.1037/0012-1649.42.6.1339	1939-0599
10.1037/0012-1649.43.1.159	1939-0599
10.1037/0012-1649.43.1.54	1939-0599
10.1037/0012-1649.43.2.267	1939-0599
10.1037/0012-1649.43.2.369	1939-0599
10.1037/0012-1649.43.3.687	1939-0599
10.1037/0012-1649.43.3.778	1939-0599
10.1037/0012-1649.43.3.796	1939-0599
10.1037/0012-1649.43.4.1019	1939-0599
10.1037/0012-1649.43.4.838	1939-0599
10.1037/0012-1649.43.4.865	1939-0599
10.1037/0012-1649.43.5.1051	1939-0599
10.1037/0012-1649.43.5.1170	1939-0599
10.1037/0012-1649.43.5.1187	1939-0599
10.1037/0012-1649.43.5.1216	1939-0599
10.1037/0012-1649.43.5.1239	1939-0599
10.1037/0012-1649.43.6.1275	1939-0599
10.1037/0012-1649.43.6.1497	1939-0599
10.1037/0012-1649.43.6.1531	1939-0599
10.1037/0012-1649.43.6.1553	1939-0599
10.1037/0012-1649.44.1.135	1939-0599
10.1037/0012-1649.44.1.15	1939-0599
10.1037/0012-1649.44.1.22	1939-0599
10.1037/0012-1649.44.1.293	1939-0599
10.1037/0012-1649.44.1.34	1939-0599
10.1037/0012-1649.44.1.46	1939-0599
10.1037/0012-1649.44.1.5	1939-0599
10.1037/0012-1649.44.1.91	1939-0599
10.1037/0012-1649.44.2.544	1939-0599
10.1037/0012-1649.44.2.575	1939-0599
10.1037/0012-1649.44.3.625	1939-0599
10.1037/0012-1649.44.3.681	1939-0599
10.1037/0012-1649.44.3.882	1939-0599
10.1037/0012-1649.44.4.1055	1939-0599
10.1037/0012-1649.44.4.1110	1939-0599
10.1037/0012-1649.44.4.1148	1939-0599
10.1037/0012-1649.44.4.919	1939-0599
10.1037/0012-1649.44.4.997	1939-0599
10.1037/001749	0010-7549
10.1037/001949	0010-7549
10.1037/002042	0010-7549
10.1037/0021-843.113.3.386	null
10.1037/0021-843X.100.1.98	1939-1846
10.1037/0021-843X.100.3.316	1939-1846
10.1037/0021-843X.100.3.391	1939-1846
10.1037/0021-843X.100.4.487	1939-1846
10.1037/0021-843X.100.4.555	1939-1846
10.1037/0021-843X.100.4.569	1939-1846
10.1037/0021-843X.101.3.371	1939-1846
10.1037/0021-843X.101.4.728	1939-1846
10.1037/0021-843X.102.2.312	1939-1846
10.1037/0021-843X.103.1.137	1939-1846
10.1037/0021-843X.103.4.645	1939-1846
10.1037/0021-843X.104.1.15	1939-1846
10.1037/0021-843X.104.1.3(Watson	null
10.1037/0021-843X.104.3.431	1939-1846
10.1037/0021-843X.104.4.632	1939-1846
10.1037/0021-843X.105.1.34	1939-1846
10.1037/0021-843X.105.3.401	1939-1846
10.1037/0021-843X.105.3.440	1939-1846
10.1037/0021-843X.105.3.480	1939-1846
10.1037/0021-843X.106.1.95	1939-1846
10.1037/0021-843X.106.2.230	1939-1846
10.1037/0021-843X.106.2.243	1939-1846
10.1037/0021-843X.106.3.486	1939-1846
10.1037/0021-843X.106.4.576	1939-1846
10.1037/0021-843X.107.1.49	1939-1846
10.1037/0021-843X.107.2.179	1939-1846
10.1037/0021-843X.107.2.216	1939-1846
10.1037/0021-843X.107.4.596	1939-1846
10.1037/0021-843X.108.2.211	1939-1846
10.1037/0021-843X.108.2.255	1939-1846
10.1037/0021-843X.108.2.290	1939-1846
10.1037/0021-843X.108.3.453	1939-1846
10.1037/0021-843X.108.4.579	1939-1846
10.1037/0021-843X.109.2.227	1939-1846
10.1037/0021-843X.109.2.252	1939-1846
10.1037/0021-843X.109.2.335	1939-1846
10.1037/0021-843X.109.3.451	1939-1846
10.1037/0021-843X.109.3.504	1939-1846
10.1037/0021-843X.110.1.151	1939-1846
10.1037/0021-843X.110.3.401	1939-1846
10.1037/0021-843X.110.3.462	1939-1846
10.1037/0021-843X.111.1.107	1939-1846
10.1037/0021-843X.111.1.198	1939-1846
10.1037/0021-843X.111.3.436	1939-1846
10.1037/0021-843X.112.1.144	1939-1846
10.1037/0021-843X.112.1.92	1939-1846
10.1037/0021-843X.113.2.179	1939-1846
10.1037/0021-843X.113.4.626	1939-1846
10.1037/0021-843X.114.3.373	1939-1846
10.1037/0021-843X.114.4.491	1939-1846
10.1037/0021-843X.114.4.537	1939-1846
10.1037/0021-843X.114.4.551	1939-1846
10.1037/0021-843X.114.4.676	1939-1846
10.1037/0021-843X.115.1.131	1939-1846
10.1037/0021-843X.115.2.221	1939-1846
10.1037/0021-843X.115.3.418	1939-1846
10.1037/0021-843X.115.3.610	1939-1846
10.1037/0021-843X.115.4.850	1939-1846
10.1037/0021-843X.116.4.804	1939-1846
10.1037/0021-843X.117.3.561	1939-1846
10.1037/0021-843X.117.3.680	1939-1846
10.1037/0021-843X.85.2.186	1939-1846
10.1037/0021-843X.85.2.218	1939-1846
10.1037/0021-843X.86.4.352	1939-1846
10.1037/0021-843X.86.6.615	1939-1846
10.1037/0021-843X.87.1.49	1939-1846
10.1037/0021-843X.87.8.322	1939-1846
10.1037/0021-843X.88.2.212	1939-1846
10.1037/0021-843X.88.3.248	1939-1846
10.1037/0021-843X.88.4.346	1939-1846
10.1037/0021-843X.88.4.418	1939-1846
10.1037/0021-843X.88.5.527	1939-1846
10.1037/0021-843X.89.2.203	1939-1846
10.1037/0021-843X.89.2.224	1939-1846
10.1037/0021-843X.89.5.662	1939-1846
10.1037/0021-843X.90.5.381	1939-1846
10.1037/0021-843X.91.4.273	1939-1846
10.1037/0021-843X.92.3.330	1939-1846
10.1037/0021-843X.93.1.3	1939-1846
10.1037/0021-843X.93.4.355	1939-1846
10.1037/0021-843X.94.3.405	1939-1846
10.1037/0021-843X.96.1.34	1939-1846
10.1037/0021-843X.97.1.87	1939-1846
10.1037/0021-843X.97.2.168	1939-1846
10.1037/0021-843X.97.3.346	1939-1846
10.1037/0021-843X.97.4.496	1939-1846
10.1037/0021-843X.98.1.14	1939-1846
10.1037/0021-843X.98.3.218	1939-1846
10.1037/0021-843X.99.3.291	1939-1846
10.1037/0021-843X.99.3.308	1939-1846
10.1037/0021-843X.99.4.430	1939-1846
10.1037/0021-843x.100.3.391	1939-1846
10.1037/0021-843x.100.4.427	1939-1846
10.1037/0021-843x.100.4.555	1939-1846
10.1037/0021-843x.100.4.569	1939-1846
10.1037/0021-843x.101.2.332	1939-1846
10.1037/0021-843x.102.2.187	1939-1846
10.1037/0021-843x.103.1.103	1939-1846
10.1037/0021-843x.103.2.171	1939-1846
10.1037/0021-843x.103.2.339	1939-1846
10.1037/0021-843x.103.2.371	1939-1846
10.1037/0021-843x.103.4.645	1939-1846
10.1037/0021-843x.103.4.719	1939-1846
10.1037/0021-843x.105.1.34	1939-1846
10.1037/0021-843x.106.1.126	1939-1846
10.1037/0021-843x.106.2.331	1939-1846
10.1037/0021-843x.107.1.128	1939-1846
10.1037/0021-843x.107.4.558	1939-1846
10.1037/0021-843x.107.4.616	1939-1846
10.1037/0021-843x.108.1.134	1939-1846
10.1037/0021-843x.108.3.453	1939-1846
10.1037/0021-843x.108.3.538	1939-1846
10.1037/0021-843x.109.1.150	1939-1846
10.1037/0021-843x.109.1.87	1939-1846
10.1037/0021-843x.109.3.403	1939-1846
10.1037/0021-843x.109.3.504	1939-1846
10.1037/0021-843x.110.3.363	1939-1846
10.1037/0021-843x.110.3.401	1939-1846
10.1037/0021-843x.110.4.516	1939-1846
10.1037/0021-843x.111.1.107	1939-1846
10.1037/0021-843x.111.1.180	1939-1846
10.1037/0021-843x.111.3.455	1939-1846
10.1037/0021-843x.111.4.682	1939-1846
10.1037/0021-843x.114.1.170	1939-1846
10.1037/0021-843x.114.3.471	1939-1846
10.1037/0021-843x.115.2.195	1939-1846
10.1037/0021-843x.115.3.610	1939-1846
10.1037/0021-843x.117.3.520	1939-1846
10.1037/0021-843x.85.4.374	1939-1846
10.1037/0021-843x.86.3.224	1939-1846
10.1037/0021-843x.86.4.379	1939-1846
10.1037/0021-843x.87.1.122	1939-1846
10.1037/0021-843x.88.1.33	1939-1846
10.1037/0021-843x.88.2.153	1939-1846
10.1037/0021-843x.88.2.182	1939-1846
10.1037/0021-843x.88.5.556	1939-1846
10.1037/0021-843x.88.5.584	0021-843X
10.1037/0021-843x.90.3.220	1939-1846
10.1037/0021-843x.93.3.345	1939-1846
10.1037/0021-843x.93.4.355	1939-1846
10.1037/0021-843x.94.3.384	1939-1846
10.1037/0021-843x.94.3.405	1939-1846
10.1037/0021-843x.95.1.15	1939-1846
10.1037/0021-843x.95.3.274	1939-1846
10.1037/0021-843x.95.4.346	1939-1846
10.1037/0021-843x.96.3.179	1939-1846
10.1037/0021-843x.97.3.357	1939-1846
10.1037/0021-843x.97.4.387	1939-1846
10.1037/0021-843x.97.4.487	1939-1846
10.1037/0021-843x.98.1.14	1939-1846
10.1037/0021-843x.98.3.236	1939-1846
10.1037/0021-9010.61.1.30	0021-9010
10.1037/0021-9010.62.1.9	0021-9010
10.1037/0021-9010.62.1.90	0021-9010
10.1037/0021-9010.62.2.237	0021-9010
10.1037/0021-9010.62.3.295	0021-9010
10.1037/0021-9010.62.3.301	0021-9010
10.1037/0021-9010.63.2.234	0021-9010
10.1037/0021-9010.63.3.267	0021-9010
10.1037/0021-9010.63.3.352	0021-9010
10.1037/0021-9010.64.3.339	0021-9010
10.1037/0021-9010.64.4.440	1939-1854
10.1037/0021-9010.65.1.111	1939-1854
10.1037/0021-9010.65.1.9	1939-1854
10.1037/0021-9010.65.1.96	1939-1854
10.1037/0021-9010.65.4.422	0021-9010
10.1037/0021-9010.65.6.672	0021-9010
10.1037/0021-9010.66.3.390	0021-9010
10.1037/0021-9010.67.3.350	0021-9010
10.1037/0021-9010.67.5.577	0021-9010
10.1037/0021-9010.67.6.737	0021-9010
10.1037/0021-9010.67.6.784	1939-1854
10.1037/0021-9010.68.2.285	0021-9010
10.1037/0021-9010.68.4.678	0021-9010
10.1037/0021-9010.68.4.686	0021-9010
10.1037/0021-9010.69.1.167	1939-1854
10.1037/0021-9010.69.2.334	0021-9010
10.1037/0021-9010.69.4.551	0021-9010
10.1037/0021-9010.70.1.85	1939-1854
10.1037/0021-9010.70.2.280	1939-1854
10.1037/0021-9010.70.2.314	1939-1854
10.1037/0021-9010.70.4.729	1939-1854
10.1037/0021-9010.71.1.33	1939-1854
10.1037/0021-9010.71.1.39	1939-1854
10.1037/0021-9010.71.1.56	1939-1854
10.1037/0021-9010.71.1.61	1939-1854
10.1037/0021-9010.71.3.402	1939-1854
10.1037/0021-9010.71.4.618	1939-1854
10.1037/0021-9010.71.4.630	1939-1854
10.1037/0021-9010.72.1.149	1939-1854
10.1037/0021-9010.72.3.374	0021-9010
10.1037/0021-9010.72.3.444	0021-9010
10.1037/0021-9010.72.3.484	0021-9010
10.1037/0021-9010.73.2.305	1939-1854
10.1037/0021-9010.73.3.482	1939-1854
10.1037/0021-9010.73.4.727	1939-1854
10.1037/0021-9010.74.1.152	1939-1854
10.1037/0021-9010.74.2.187	0021-9010
10.1037/0021-9010.74.4.625	1939-1854
10.1037/0021-9010.74.4.657	1939-1854
10.1037/0021-9010.74.6.943	1939-1854
10.1037/0021-9010.74.6.971	1939-1854
10.1037/0021-9010.75.1.28	0021-9010
10.1037/0021-9010.75.1.51	0021-9010
10.1037/0021-9010.75.2.117	0021-9010
10.1037/0021-9010.75.3.268	1939-1854
10.1037/0021-9010.75.3.297	0021-9010
10.1037/0021-9010.75.4.394	0021-9010
10.1037/0021-9010.75.5.561	0021-9010
10.1037/0021-9010.76.2.256	1939-1854
10.1037/0021-9010.76.2.268	1939-1854
10.1037/0021-9010.76.3.408	1939-1854
10.1037/0021-9010.76.4.578	1939-1854
10.1037/0021-9010.76.4.587	1939-1854
10.1037/0021-9010.77.5.571	0021-9010
10.1037/0021-9010.77.5.615	0021-9010
10.1037/0021-9010.77.5.629	0021-9010
10.1037/0021-9010.77.5.651	0021-9010
10.1037/0021-9010.77.6.803	0021-9010
10.1037/0021-9010.78.1.34	0021-9010
10.1037/0021-9010.78.1.98	0021-9010
10.1037/0021-9010.78.2.205	0021-9010
10.1037/0021-9010.78.2.218	1939-1854
10.1037/0021-9010.78.5.723	1939-1854
10.1037/0021-9010.78.6.891	1939-1854
10.1037/0021-9010.79.1.77	1939-1854
10.1037/0021-9010.79.1.87	1939-1854
10.1037/0021-9010.79.2.184	0021-9010
10.1037/0021-9010.79.3.323	0021-9010
10.1037/0021-9010.79.4.599	0021-9010
10.1037/0021-9010.79.5.659	0021-9010
10.1037/0021-9010.79.5.714	0021-9010
10.1037/0021-9010.79.5.744	0021-9010
10.1037/0021-9010.79.6.866	1939-1854
10.1037/0021-9010.79.6.931	1939-1854
10.1037/0021-9010.79.6.950	1939-1854
10.1037/0021-9010.79.6.959	1939-1854
10.1037/0021-9010.79.6.998	1939-1854
10.1037/0021-9010.80.4.455	1939-1854
10.1037/0021-9010.80.5.565	0021-9010
10.1037/0021-9010.81.2.123	1939-1854
10.1037/0021-9010.81.3.219	0021-9010
10.1037/0021-9010.81.4.380	1939-1854
10.1037/0021-9010.81.4.429	1939-1854
10.1037/0021-9010.81.5.557	0021-9010
10.1037/0021-9010.81.6.619	1939-1854
10.1037/0021-9010.81.6.660	0021-9010
10.1037/0021-9010.81.6.680	0021-9010
10.1037/0021-9010.82.1.30	1939-1854
10.1037/0021-9010.82.1.6	1939-1854
10.1037/0021-9010.82.1.62	1939-1854
10.1037/0021-9010.82.2.300	1939-1854
10.1037/0021-9010.82.3.342	0021-9010
10.1037/0021-9010.82.3.359	1939-1854
10.1037/0021-9010.82.3.434	0021-9010
10.1037/0021-9010.82.5.764	1939-1854
10.1037/0021-9010.82.5.792	0021-9010
10.1037/0021-9010.82.6.374	1939-1854
10.1037/0021-9010.83.1.128	1939-1854
10.1037/0021-9010.83.1.17	1939-1854
10.1037/0021-9010.83.1.43	0021-9010
10.1037/0021-9010.83.2.139	0021-9010
10.1037/0021-9010.83.2.179	0021-9010
10.1037/0021-9010.83.3.347	1939-1854
10.1037/0021-9010.83.3.360	1939-1854
10.1037/0021-9010.83.3.377	0021-9010
10.1037/0021-9010.83.3.392	0021-9010
10.1037/0021-9010.83.3.486	1939-1854
10.1037/0021-9010.83.4.586	0021-9010
10.1037/0021-9010.84.1.107	0021-9010
10.1037/0021-9010.84.2.271	0021-9010
10.1037/0021-9010.84.3.376	1939-1854
10.1037/0021-9010.84.3.403	1939-1854
10.1037/0021-9010.84.4.467	0021-9010
10.1037/0021-9010.84.4.496	0021-9010
10.1037/0021-9010.84.4.564	0021-9010
10.1037/0021-9010.84.6.986	1939-1854
10.1037/0021-9010.85.1.119	1939-1854
10.1037/0021-9010.85.2.237	1939-1854
10.1037/0021-9010.85.2.314	1939-1854
10.1037/0021-9010.85.3.349	1939-1854
10.1037/0021-9010.85.3.386	1939-1854
10.1037/0021-9010.85.5.708	1939-1854
10.1037/0021-9010.85.5.724	1939-1854
10.1037/0021-9010.85.5.751	1939-1854
10.1037/0021-9010.85.6.971	1939-1854
10.1037/0021-9010.86.1.114	1939-1854
10.1037/0021-9010.86.1.17	1939-1854
10.1037/0021-9010.86.1.42	1939-1854
10.1037/0021-9010.86.1.80	1939-1854
10.1037/0021-9010.86.2.3518	null
10.1037/0021-9010.86.3.481	1939-1854
10.1037/0021-9010.86.3.499	1939-1854
10.1037/0021-9010.86.3.535	1939-1854
10.1037/0021-9010.86.4.547	1939-1854
10.1037/0021-9010.86.4.709	1939-1854
10.1037/0021-9010.86.4.718	1939-1854
10.1037/0021-9010.86.4.730	1939-1854
10.1037/0021-9010.86.5.825	1939-1854
10.1037/0021-9010.86.5.897	1939-1854
10.1037/0021-9010.86.5.974	1939-1854
10.1037/0021-9010.86.6.1075	1939-1854
10.1037/0021-9010.86.6.1120	1939-1854
10.1037/0021-9010.86.6.1244	1939-1854
10.1037/0021-9010.86.6.1270	1939-1854
10.1037/0021-9010.86.6.1300	1939-1854
10.1037/0021-9010.87.1.131	1939-1854
10.1037/0021-9010.87.1.66	1939-1854
10.1037/0021-9010.87.2.268	1939-1854
10.1037/0021-9010.87.2.304	1939-1854
10.1037/0021-9010.87.3.444	1939-1854
10.1037/0021-9010.87.3.454	1939-1854
10.1037/0021-9010.87.3.474	1939-1854
10.1037/0021-9010.87.3.530	1939-1854
10.1037/0021-9010.87.4.765	1939-1854
10.1037/0021-9010.87.5.819	1939-1854
10.1037/0021-9010.87.5.867	1939-1854
10.1037/0021-9010.87.5.894	1939-1854
10.1037/0021-9010.87.6.1020	1939-1854
10.1037/0021-9010.87.6.1068	1939-1854
10.1037/0021-9010.87.6.1191	1939-1854
10.1037/0021-9010.87.6.1200	1939-1854
10.1037/0021-9010.88.1.160	1939-1854
10.1037/0021-9010.88.2.234	1939-1854
10.1037/0021-9010.88.2.256	1939-1854
10.1037/0021-9010.88.2.266	1939-1854
10.1037/0021-9010.88.2.284	1939-1854
10.1037/0021-9010.88.2.363	1939-1854
10.1037/0021-9010.88.3.476	1939-1854
10.1037/0021-9010.88.3.500	1939-1854
10.1037/0021-9010.88.3.545	1939-1854
10.1037/0021-9010.88.3.552	1939-1854
10.1037/0021-9010.88.4.587	1939-1854
10.1037/0021-9010.88.4.635	1939-1854
10.1037/0021-9010.88.4.741	1939-1854
10.1037/0021-9010.88.4.760	1939-1854
10.1037/0021-9010.88.5.779	1939-1854
10.1037/0021-9010.88.5.866	1939-1854
10.1037/0021-9010.88.5.879	1939-1854
10.1037/0021-9010.88.5.944	1939-1854
10.1037/0021-9010.88.6.1019	1939-1854
10.1037/0021-9010.88.6.989	1939-1854
10.1037/0021-9010.89.1.165	1939-1854
10.1037/0021-9010.89.2.322	1939-1854
10.1037/0021-9010.89.3.416	1939-1854
10.1037/0021-9010.89.3.428	1939-1854
10.1037/0021-9010.89.3.428.x	null
10.1037/0021-9010.89.3.483	1939-1854
10.1037/0021-9010.89.4.599	1939-1854
10.1037/0021-9010.89.4.610	1939-1854
10.1037/0021-9010.89.4.622	1939-1854
10.1037/0021-9010.89.4.647	1939-1854
10.1037/0021-9010.89.4.700	1939-1854
10.1037/0021-9010.89.5.901	1939-1854
10.1037/0021-9010.90.2.257	1939-1854
10.1037/0021-9010.90.2.295	1939-1854
10.1037/0021-9010.90.3.431	1939-1854
10.1037/0021-9010.90.3.483	1939-1854
10.1037/0021-9010.90.3.536	1939-1854
10.1037/0021-9010.90.3.586	1939-1854
10.1037/0021-9010.90.4.731	1939-1854
10.1037/0021-9010.90.5.882	1939-1854
10.1037/0021-9010.90.5.893	1939-1854
10.1037/0021-9010.90.5.917	1939-1854
10.1037/0021-9010.90.5.964	1939-1854
10.1037/0021-9010.90.6.1153	1939-1854
10.1037/0021-9010.90.6.1241	1939-1854
10.1037/0021-9010.91.1.202	1939-1854
10.1037/0021-9010.91.1.70	1939-1854
10.1037/0021-9010.91.2.311	1939-1854
10.1037/0021-9010.91.2.446	1939-1854
10.1037/0021-9010.91.2.467	1939-1854
10.1037/0021-9010.91.3.567	1939-1854
10.1037/0021-9010.91.3.579	1939-1854
10.1037/0021-9010.91.3.594	1939-1854
10.1037/0021-9010.91.3.727	1939-1854
10.1037/0021-9010.91.4.762	1939-1854
10.1037/0021-9010.91.4.777	1939-1854
10.1037/0021-9010.91.4.82	0021-9010
10.1037/0021-9010.91.5.1013	1939-1854
10.1037/0021-9010.91.5.1037	1939-1854
10.1037/0021-9010.91.5.1066	1939-1854
10.1037/0021-9010.91.5.1125	1939-1854
10.1037/0021-9010.91.5.1172	1939-1854
10.1037/0021-9010.91.5.987	1939-1854
10.1037/0021-9010.91.5.998	1939-1854
10.1037/0021-9010.91.6.1189	1939-1854
10.1037/0021-9010.91.6.1208	1939-1854
10.1037/0021-9010.91.6.1321	1939-1854
10.1037/0021-9010.91.6.1340	1939-1854
10.1037/0021-9010.91.6.1385	1939-1854
10.1037/0021-9010.92.1.107	1939-1854
10.1037/0021-9010.92.1.191	1939-1854
10.1037/0021-9010.92.1.228	1939-1854
10.1037/0021-9010.92.1.57	1939-1854
10.1037/0021-9010.92.1.93	1939-1854
10.1037/0021-9010.92.2.347	1939-1854
10.1037/0021-9010.92.2.519	1939-1854
10.1037/0021-9010.92.2.538	1939-1854
10.1037/0021-9010.92.3.595	1939-1854
10.1037/0021-9010.92.3.616	1939-1854
10.1037/0021-9010.92.3.707	1939-1854
10.1037/0021-9010.92.3.848	1939-1854
10.1037/0021-9010.92.4.1031	1939-1854
10.1037/0021-9010.92.4.1103	1939-1854
10.1037/0021-9010.92.4.1131	1939-1854
10.1037/0021-9010.92.4.1159	1939-1854
10.1037/0021-9010.92.4.967	1939-1854
10.1037/0021-9010.92.4.978	1939-1854
10.1037/0021-9010.92.5.1212	1939-1854
10.1037/0021-9010.92.5.1254	1939-1854
10.1037/0021-9010.92.5.1286	1939-1854
10.1037/0021-9010.92.5.1427	1939-1854
10.1037/0021-9010.92.5.1456	1939-1854
10.1037/0021-9010.92.6.1499	1939-1854
10.1037/0021-9010.92.6.1524	1939-1854
10.1037/0021-9010.92.6.1610	1939-1854
10.1037/0021-9010.92.6.1638	1939-1854
10.1037/0021-9010.93.1.170	1939-1854
10.1037/0021-9010.93.1.70	1939-1854
10.1037/0021-9010.93.2.374	1939-1854
10.1037/0021-9010.93.2.392	1939-1854
10.1037/0021-9010.93.2.462	1939-1854
10.1037/0021-9010.93.2.472	1939-1854
10.1037/0021-9010.93.3.498	1939-1854
10.1037/0021-9010.93.3.645	1939-1854
10.1037/0021-9010.93.4.721	1939-1854
10.1037/0021-9010.93.4.758	1939-1854
10.1037/0022-	null
10.1037/0022-006X.44.1.92	1939-2117
10.1037/0022-006X.45.2.206	1939-2117
10.1037/0022-006X.46.1.139	1939-2117
10.1037/0022-006X.46.1.170	1939-2117
10.1037/0022-006X.46.4.806	0022-006X
10.1037/0022-006X.46.6.1385	1939-2117
10.1037/0022-006X.47.2.343	1939-2117
10.1037/0022-006X.49.2.245	1939-2117
10.1037/0022-006X.49.5.648	1939-2117
10.1037/0022-006X.50.1	null
10.1037/0022-006X.50.1.71	1939-2117
10.1037/0022-006X.50.3.452	1939-2117
10.1037/0022-006X.51.2.276	1939-2117
10.1037/0022-006X.51.2.316	0022-006X
10.1037/0022-006X.51.2.316&title=Journal+of+consulting+and+clinical+psyc	null
10.1037/0022-006X.52.4.651	1939-2117
10.1037/0022-006X.52.5.873	1939-2117
10.1037/0022-006X.53.2.175	1939-2117
10.1037/0022-006X.53.3.386	1939-2117
10.1037/0022-006X.53.6.866	1939-2117
10.1037/0022-006X.53.6.935	1939-2117
10.1037/0022-006X.54.1.4	1939-2117
10.1037/0022-006X.54.2.158	1939-2117
10.1037/0022-006X.54.4.454	1939-2117
10.1037/0022-006X.54.4.489	1939-2117
10.1037/0022-006X.54.4.566	1939-2117
10.1037/0022-006X.55.1.29	1939-2117
10.1037/0022-006X.55.1.3	1939-2117
10.1037/0022-006X.55.2.162	1939-2117
10.1037/0022-006X.55.3.341	1939-2117
10.1037/0022-006X.56.1.145	1939-2117
10.1037/0022-006X.56.2.233	1939-2117
10.1037/0022-006X.56.4.520	1939-2117
10.1037/0022-006X.56.6.916	1939-2117
10.1037/0022-006X.57.1.100	1939-2117
10.1037/0022-006X.57.1.112	1939-2117
10.1037/0022-006X.57.1.31	1939-2117
10.1037/0022-006X.57.3.414	1939-2117
10.1037/0022-006X.57.5.579	1939-2117
10.1037/0022-006X.57.6.747	0022-006X
10.1037/0022-006X.58.1.99	1939-2117
10.1037/0022-006X.58.5.636	1939-2117
10.1037/0022-006X.59.2.295	1939-2117
10.1037/0022-006X.59.3.381	1939-2117
10.1037/0022-006X.59.3.464	1939-2117
10.1037/0022-006X.59.4.491	1939-2117
10.1037/0022-006X.59.5.670	1939-2117
10.1037/0022-006X.59.6.830	1939-2117
10.1037/0022-006X.60.1.16	1939-2117
10.1037/0022-006X.60.1.7	1939-2117
10.1037/0022-006X.60.2.196	1939-2117
10.1037/0022-006X.60.3.349	1939-2117
10.1037/0022-006X.60.5.689	1939-2117
10.1037/0022-006X.60.6.869	1939-2117
10.1037/0022-006X.61.2.202	1939-2117
10.1037/0022-006X.61.2.235	1939-2117
10.1037/0022-006X.61.2.284	1939-2117
10.1037/0022-006X.61.2.344	1939-2117
10.1037/0022-006X.61.4.646	1939-2117
10.1037/0022-006X.61.5.761	1939-2117
10.1037/0022-006X.62.1.111	1939-2117
10.1037/0022-006X.62.2.221	1939-2117
10.1037/0022-006X.62.2.243	1939-2117
10.1037/0022-006X.62.2.261	1939-2117
10.1037/0022-006X.62.2.281	1939-2117
10.1037/0022-006X.62.2.387	1939-2117
10.1037/0022-006X.62.3.636	1939-2117
10.1037/0022-006X.62.5.982	1939-2117
10.1037/0022-006X.62.6.1167	1939-2117
10.1037/0022-006X.63.2.214	1939-2117
10.1037/0022-006X.63.4.560	1939-2117
10.1037/0022-006X.63.5.841	1939-2117
10.1037/0022-006X.64.1.42	1939-2117
10.1037/0022-006X.64.1.64	1939-2117
10.1037/0022-006X.64.2.295	1939-2117
10.1037/0022-006X.64.2.391	1939-2117
10.1037/0022-006X.64.3.513	1939-2117
10.1037/0022-006X.64.3.517	1939-2117
10.1037/0022-006X.64.4.783	1939-2117
10.1037/0022-006X.64.6.1152	1939-2117
10.1037/0022-006X.65.1.190	1939-2117
10.1037/0022-006X.65.1.44	1939-2117
10.1037/0022-006X.65.1.60	1939-2117
10.1037/0022-006X.65.2.324	1939-2117
10.1037/0022-006X.66.1.143	1939-2117
10.1037/0022-006X.66.1.7	1939-2117
