10.4137/BECB.S34255	1179-5972
10.4161/cbt.3.8.1068	1538-4047
10.4161/cbt.3.8.1108	1538-4047
10.4161/cbt.310	1538-4047
10.4161/cbt.4.1.1375	1538-4047
10.4161/cbt.4.1.1380	1538-4047
10.4161/cbt.4.1.1474	1538-4047
10.4161/cbt.4.11.2085	1538-4047
10.4161/cbt.4.11.2090	1538-4047
10.4161/cbt.4.12.2355	1538-4047
10.4161/cbt.4.5.1699	1538-4047
10.4161/cbt.4.5.1820	1538-4047
10.4161/cbt.4.7.1802	1538-4047
10.4161/cbt.5.1.2288	1538-4047
10.4161/cbt.5.10.3296	1538-4047
10.4161/cbt.5.12.3351	1538-4047
10.4161/cbt.5.12.3469	1538-4047
10.4161/cbt.5.2.2429	1538-4047
10.4161/cbt.5.3.2380	1538-4047
10.4161/cbt.5.3.2381	1538-4047
10.4161/cbt.5.3.2384	1538-4047
10.4161/cbt.5.4.2477	1538-4047
10.4161/cbt.5.4.2521	1538-4047
10.4161/cbt.5.4.2748	1538-4047
10.4161/cbt.5.6.2708	1538-4047
10.4161/cbt.5.7.3155	1538-4047
10.4161/cbt.5.8.2880	1538-4047
10.4161/cbt.5.9.3151	1538-4047
10.4161/cbt.5.9.3175	1538-4047
10.4161/cbt.5.9.3370	1538-4047
10.4161/cbt.6.12.5161	1538-4047
10.4161/cbt.6.2.3624	1538-4047
10.4161/cbt.6.3.3704	1538-4047
10.4161/cbt.6.3.3904	1538-4047
10.4161/cbt.6.7.4704	1538-4047
10.4161/cbt.6.8.4382	1538-4047
10.4161/cbt.6.8.4383	1538-4047
10.4161/cbt.6.8.4486	1538-4047
10.4161/cbt.7.1.5198	1538-4047
10.4161/cbt.7.2.5297	1538-4047
10.4161/cbt.7.2.5745	1538-4047
10.4161/cbt.7.4.5535	1538-4047
10.4161/cbt.7.5.6097	1538-4047
10.4161/cbt.7.7.6192	1538-4047
10.4161/cbt.7.7.6199	1538-4047
10.4161/cbt.7.9.6427	1538-4047
10.4161/cbt.72	1538-4047
10.4161/cbt.8.1.7090	1538-4047
10.4161/cbt.8.1.7469	1538-4047
10.4161/cbt.8.11.8874	1538-4047
10.4161/cbt.8.16.8950	1538-4047
10.4161/cbt.8.3.8101	1538-4047
10.4161/cbt.8.4.7338	1538-4047
10.4161/cbt.8.6.7594	1538-4047
10.4161/cbt.8.7.8140	1538-4047
10.4161/cbt.8.8.7779	1538-4047
10.4161/cbt.8.9.8210	1538-4047
10.4161/cbt.8.9.8899	1538-4047
10.4161/cbt.9.5.11310	1538-4047
10.4161/cbt.9.7.11267	1538-4047
10.4161/cbt.9.7.11846	1538-4047
10.4161/cc.1.4.139	1538-4101
10.4161/cc.1.6.271	1538-4101
10.4161/cc.10.1.14243	1538-4101
10.4161/cc.10.10.15514	1538-4101
10.4161/cc.10.10.15519	1538-4101
10.4161/cc.10.10.15562	1538-4101
10.4161/cc.10.11.15777	1538-4101
10.4161/cc.10.13.16352	1538-4101
10.4161/cc.10.15.16312	1538-4101
10.4161/cc.10.15.16531	1538-4101
10.4161/cc.10.15.16776	1538-4101
10.4161/cc.10.17.16745	1538-4101
10.4161/cc.10.17.17011	1538-4101
10.4161/cc.10.17.17181	1538-4101
10.4161/cc.10.18.17435	1538-4101
10.4161/cc.10.20.17528	1538-4101
10.4161/cc.10.20.17817	1538-4101
10.4161/cc.10.21.18094	1538-4101
10.4161/cc.10.22.18107	1538-4101
10.4161/cc.10.22.18302	1538-4101
10.4161/cc.10.23.18385	1538-4101
10.4161/cc.10.24.18552	1538-4101
10.4161/cc.10.6.14907	1538-4101
10.4161/cc.10.8.15363	1538-4101
10.4161/cc.11.1.18576	1538-4101
10.4161/cc.11.1.18793	1538-4101
10.4161/cc.11.2.18785	1538-4101
10.4161/cc.11.2.18995	1538-4101
10.4161/cc.11.5.19452	1538-4101
10.4161/cc.11.6.19451	1538-4101
10.4161/cc.11.6.19559	1538-4101
10.4161/cc.19956	1538-4101
10.4161/cc.19978	1538-4101
10.4161/cc.2.4.433	1538-4101
10.4161/cc.2.4.468	1538-4101
10.4161/cc.2.5.461	1538-4101
10.4161/cc.2.5.482	1538-4101
10.4161/cc.2.5.498	1538-4101
10.4161/cc.2.6.566	1538-4101
10.4161/cc.2.6.576	1538-4101
10.4161/cc.20140	1538-4101
10.4161/cc.20279	1538-4101
10.4161/cc.20414	1538-4101
10.4161/cc.20423	1538-4101
10.4161/cc.20810	1538-4101
10.4161/cc.20878	1538-4101
10.4161/cc.20898	1538-4101
10.4161/cc.21018	1538-4101
10.4161/cc.21105	1538-4101
10.4161/cc.21927	1538-4101
10.4161/cc.22068	1538-4101
10.4161/cc.22137	1538-4101
10.4161/cc.22468	1538-4101
10.4161/cc.22575	1538-4101
10.4161/cc.23422	1538-4101
10.4161/cc.23599	1538-4101
10.4161/cc.23723	1538-4101
10.4161/cc.23824	1538-4101
10.4161/cc.23881	1538-4101
10.4161/cc.25266	1538-4101
10.4161/cc.25495	1538-4101
10.4161/cc.27407	1538-4101
10.4161/cc.27677	1538-4101
10.4161/cc.27679	1538-4101
10.4161/cc.28418	1538-4101
10.4161/cc.28759	1538-4101
10.4161/cc.29018	1538-4101
10.4161/cc.3.10.1163	1538-4101
10.4161/cc.3.11.1206	1538-4101
10.4161/cc.3.11.1213	1538-4101
10.4161/cc.3.12.1280	1538-4101
10.4161/cc.3.12.1281	1538-4101
10.4161/cc.3.12.1316	1538-4101
10.4161/cc.3.12.1345	1538-4101
10.4161/cc.3.2.645	1538-4101
10.4161/cc.3.2.651	1538-4101
10.4161/cc.3.3.672	1538-4101
10.4161/cc.3.3.722	1538-4101
10.4161/cc.3.4.792	1538-4101
10.4161/cc.3.5.825	1538-4101
10.4161/cc.3.7.947	1538-4101
10.4161/cc.3.7.972	1538-4101
10.4161/cc.3.8.1062	1538-4101
10.4161/cc.3.8.988	1538-4101
10.4161/cc.3.9.1078	1538-4101
10.4161/cc.3.9.1151	1538-4101
10.4161/cc.4.1.1347	1538-4101
10.4161/cc.4.1.1360	1538-4101
10.4161/cc.4.10.2049	1538-4101
10.4161/cc.4.10.2107	1538-4101
10.4161/cc.4.11.2121	1538-4101
10.4161/cc.4.11.2124	1538-4101
10.4161/cc.4.11.2139	1538-4101
10.4161/cc.4.11.2142	1538-4101
10.4161/cc.4.11.2151	1538-4101
10.4161/cc.4.11.2187	1538-4101
10.4161/cc.4.11.2188	1538-4101
10.4161/cc.4.11.2192	1538-4101
10.4161/cc.4.12.2172	1538-4101
10.4161/cc.4.2.1468	1538-4101
10.4161/cc.4.3.1521	1538-4101
10.4161/cc.4.3.1538	1538-4101
10.4161/cc.4.3.1546	1538-4101
10.4161/cc.4.4.1607	1538-4101
10.4161/cc.4.6.1716	1538-4101
10.4161/cc.4.6.1744	1538-4101
10.4161/cc.4.7.1787	1538-4101
10.4161/cc.4.7.1800	1538-4101
10.4161/cc.4.8.1862	1538-4101
10.4161/cc.4.8.1900	1538-4101
10.4161/cc.4.8.1902	1538-4101
10.4161/cc.4.8.1918	1538-4101
10.4161/cc.4.9.1977	1538-4101
10.4161/cc.4.9.1981	1538-4101
10.4161/cc.4.9.1985	1538-4101
10.4161/cc.4.9.1994	1538-4101
10.4161/cc.4.9.2027	1538-4101
10.4161/cc.4.9.2040	1538-4101
10.4161/cc.4.9.2048	1538-4101
10.4161/cc.5.1.2266	1538-4101
10.4161/cc.5.1.2269	1538-4101
10.4161/cc.5.1.2305	1538-4101
10.4161/cc.5.10.2741	1538-4101
10.4161/cc.5.10.2747	1538-4101
10.4161/cc.5.10.2771	1538-4101
10.4161/cc.5.13.2924	1538-4101
10.4161/cc.5.14.2925	1538-4101
10.4161/cc.5.14.2978	1538-4101
10.4161/cc.5.14.2981	1538-4101
10.4161/cc.5.14.3008	1538-4101
10.4161/cc.5.14.3093	1538-4101
10.4161/cc.5.15.3123	1538-4101
10.4161/cc.5.15.3126	1538-4101
10.4161/cc.5.15.3149	1538-4101
10.4161/cc.5.15.3150	1538-4101
10.4161/cc.5.18.3211	1538-4101
10.4161/cc.5.19.3266	1538-4101
10.4161/cc.5.2.2367	1538-4101
10.4161/cc.5.20.3385	1538-4101
10.4161/cc.5.21.3395	1538-4101
10.4161/cc.5.21.3396	1538-4101
10.4161/cc.5.21.3403	1538-4101
10.4161/cc.5.21.3409	1538-4101
10.4161/cc.5.21.3428	1538-4101
10.4161/cc.5.22.3448	1538-4101
10.4161/cc.5.22.3500	1538-4101
10.4161/cc.5.24.3565	1538-4101
10.4161/cc.5.24.3566	1538-4101
10.4161/cc.5.3.2410	1538-4101
10.4161/cc.5.4.2439	1538-4101
10.4161/cc.5.5.2538	1538-4101
10.4161/cc.5.6.2560	1538-4101
10.4161/cc.5.8.2635	1538-4101
10.4161/cc.5.8.2637	1538-4101
10.4161/cc.5.8.2641	1538-4101
10.4161/cc.5.8.2685	1538-4101
10.4161/cc.5.8.2686	1538-4101
10.4161/cc.5.8.2691	1538-4101
10.4161/cc.5.8.2692	1538-4101
10.4161/cc.6.1.3668	1538-4101
10.4161/cc.6.1.3669	1538-4101
10.4161/cc.6.1.3688	1538-4101
10.4161/cc.6.10.4225	1538-4101
10.4161/cc.6.10.4231	1538-4101
10.4161/cc.6.11.4276	1538-4101
10.4161/cc.6.11.4297	1538-4101
10.4161/cc.6.11.4298	1538-4101
10.4161/cc.6.11.4299	1538-4101
10.4161/cc.6.13.4336	1538-4101
10.4161/cc.6.13.4356	1538-4101
10.4161/cc.6.13.4442	1538-4101
10.4161/cc.6.13.4453	1538-4101
10.4161/cc.6.13.4455	1538-4101
10.4161/cc.6.13.4467	1538-4101
10.4161/cc.6.14.4493	1538-4101
10.4161/cc.6.15.4520	1538-4101
10.4161/cc.6.16.4549	1538-4101
10.4161/cc.6.16.4601	1538-4101
10.4161/cc.6.17.4632	1538-4101
10.4161/cc.6.18.4751	1538-4101
10.4161/cc.6.2.3706	1538-4101
10.4161/cc.6.2.3722	1538-4101
10.4161/cc.6.2.3732	1538-4101
10.4161/cc.6.2.3733	1538-4101
10.4161/cc.6.2.3741	1538-4101
10.4161/cc.6.2.3742	1538-4101
10.4161/cc.6.2.3788	1538-4101
10.4161/cc.6.20.5079	1538-4101
10.4161/cc.6.21.4845	1538-4101
10.4161/cc.6.22.4900	1538-4101
10.4161/cc.6.24.5106	1538-4101
10.4161/cc.6.4.3854	1538-4101
10.4161/cc.6.5.3902	1538-4101
10.4161/cc.6.5.3928	1538-4101
10.4161/cc.6.6.3935	1538-4101
10.4161/cc.6.6.3981	1538-4101
10.4161/cc.6.6.3986	1538-4101
10.4161/cc.6.6.3987	1538-4101
10.4161/cc.6.6.4033	1538-4101
10.4161/cc.6.6.4035	1538-4101
10.4161/cc.6.7.4065	1538-4101
10.4161/cc.6.8.4108	1538-4101
10.4161/cc.6.8.4134	1538-4101
10.4161/cc.6390	1538-4101
10.4161/cc.7.10.5883	1538-4101
10.4161/cc.7.10.5951	1538-4101
10.4161/cc.7.11.5985	1538-4101
10.4161/cc.7.12.6023	1538-4101
10.4161/cc.7.12.6025	1538-4101
10.4161/cc.7.12.6180	1538-4101
10.4161/cc.7.13.6235	1538-4101
10.4161/cc.7.14.6272	1538-4101
10.4161/cc.7.16.6479	1538-4101
10.4161/cc.7.16.6533	1538-4101
10.4161/cc.7.16.6541	1538-4101
10.4161/cc.7.17.6580	1538-4101
10.4161/cc.7.18.6679	1538-4101
10.4161/cc.7.18.6734	1538-4101
10.4161/cc.7.19.6778	1538-4101
10.4161/cc.7.2.5185	1538-4101
10.4161/cc.7.2.5324	1538-4101
10.4161/cc.7.20.6855	1538-4101
10.4161/cc.7.21.6930	1538-4101
10.4161/cc.7.22.7044	1538-4101
10.4161/cc.7.24.7397	1538-4101
10.4161/cc.7.5.5522	1538-4101
10.4161/cc.7.5.5701	1538-4101
10.4161/cc.7.6.5573	1538-4101
10.4161/cc.7.6.5834	1538-4101
10.4161/cc.7.7.5644	1538-4101
10.4161/cc.7.8.5710	1538-4101
10.4161/cc.7.8.5720	1538-4101
10.4161/cc.8.1.7292	1538-4101
10.4161/cc.8.1.7327	1538-4101
10.4161/cc.8.1.7533	1538-4101
10.4161/cc.8.11.8503	1538-4101
10.4161/cc.8.11.8580	1538-4101
10.4161/cc.8.12.8639	1538-4101
10.4161/cc.8.12.8798	1538-4101
10.4161/cc.8.13.8883	1538-4101
10.4161/cc.8.13.8988	1538-4101
10.4161/cc.8.14.8947	1538-4101
10.4161/cc.8.14.9074	1538-4101
10.4161/cc.8.14.9103	1538-4101
10.4161/cc.8.15.9148	1538-4101
10.4161/cc.8.15.9221	1538-4101
10.4161/cc.8.16.9276	1538-4101
10.4161/cc.8.17.9387	1538-4101
10.4161/cc.8.17.9502	1538-4101
10.4161/cc.8.18.9538	1538-4101
10.4161/cc.8.2.7358	1538-4101
10.4161/cc.8.20.10189	1538-4101
10.4161/cc.8.20.9853	1538-4101
10.4161/cc.8.21.9789	1538-4101
10.4161/cc.8.21.9837	1538-4101
10.4161/cc.8.21.9955	1538-4101
10.4161/cc.8.22.10047	1538-4101
10.4161/cc.8.22.9909	1538-4101
10.4161/cc.8.24.10171	1538-4101
10.4161/cc.8.24.10239	1538-4101
10.4161/cc.8.24.10240	1538-4101
10.4161/cc.8.24.10242	1538-4101
10.4161/cc.8.24.10316	1538-4101
10.4161/cc.8.3.7526	1538-4101
10.4161/cc.8.3.7585	1538-4101
10.4161/cc.8.3.7652	1538-4101
10.4161/cc.8.4.7844	1538-4101
10.4161/cc.8.5.7753	1538-4101
10.4161/cc.8.5.8065	1538-4101
10.4161/cc.8.6.7905	1538-4101
10.4161/cc.8.6.7907	1538-4101
10.4161/cc.8.6.8187	1538-4101
10.4161/cc.8.7.8119	1538-4101
10.4161/cc.9.1.10268	1538-4101
10.4161/cc.9.1.10577	1538-4101
10.4161/cc.9.11.11735	1538-4101
10.4161/cc.9.11.11807	1538-4101
10.4161/cc.9.11.11842	1538-4101
10.4161/cc.9.11.11843	1538-4101
10.4161/cc.9.12.12054	1538-4101
10.4161/cc.9.14.12248	1538-4101
10.4161/cc.9.15.12412	1538-4101
10.4161/cc.9.15.12459	1538-4101
10.4161/cc.9.15.12515	1538-4101
10.4161/cc.9.15.12699	1538-4101
10.4161/cc.9.16.12547	1538-4101
10.4161/cc.9.16.12598	1538-4101
10.4161/cc.9.16.12732	1538-4101
10.4161/cc.9.17.12832	1538-4101
10.4161/cc.9.17.12885	1538-4101
10.4161/cc.9.17.13070	1538-4101
10.4161/cc.9.17.13122	1538-4101
10.4161/cc.9.18.13133	1538-4101
10.4161/cc.9.19.13207	1538-4101
10.4161/cc.9.19.13385	1538-4101
10.4161/cc.9.2.10433	1538-4101
10.4161/cc.9.2.10502	1538-4101
10.4161/cc.9.20.13543	1538-4101
10.4161/cc.9.22.13887	1538-4101
10.4161/cc.9.24.14158	1538-4101
10.4161/cc.9.3.10541	1538-4101
10.4161/cc.9.3.10542	1538-4101
10.4161/cc.9.4.10766	1538-4101
10.4161/cc.9.4.10785	1538-4101
10.4161/cc.9.5.10914	1538-4101
10.4161/cc.9.5.10915	1538-4101
10.4161/cc.9.5.10916	1538-4101
10.4161/cc.9.6.11006	1538-4101
10.4161/cc.9.7.11126	1538-4101
10.4161/cc.9.8.11202	1538-4101
10.4161/cc.9.9.11535	1538-4101
10.4161/chan.19126	1933-6950
10.4161/chan.2.5.6902	1933-6950
10.4161/chan.2.6.7220	1933-6950
10.4161/chan.21002	1933-6950
10.4161/chan.21050	1933-6950
10.4161/chan.3.1.7387	1933-6950
10.4161/chan.3.1.7548	1933-6950
10.4161/chan.3.6.10201	1933-6950
10.4161/chan.3707	1933-6950
10.4161/chan.4.4.12789	1933-6950
10.4161/chan.4.6.12864	1933-6950
10.4161/chim.1.2.14294	1938-1956
10.4161/chim.25055	1938-1956
10.4161/cib.1.1.6465	1942-0889
10.4161/cib.1.2.7284	1942-0889
10.4161/cib.13646	1942-0889
10.4161/cib.13844	1942-0889
10.4161/cib.16721	1942-0889
10.4161/cib.17757	1942-0889
10.4161/cib.18624	1942-0889
10.4161/cib.2.1.7505	1942-0889
10.4161/cib.2.6.9408	1942-0889
10.4161/cib.20373	1942-0889
10.4161/cib.25074	1942-0889
10.4161/cib.25783	1942-0889
10.4161/cib.27924	1942-0889
10.4161/cib.28029	1942-0889
10.4161/cib.3.1.10118	1942-0889
10.4161/cib.3.1.9863	1942-0889
10.4161/cib.3.2.10603	1942-0889
10.4161/cib.3.3.11557	1942-0889
10.4161/cib.3.5.12693	1942-0889
10.4161/cib.3.6.12977	1942-0889
10.4161/cib.4.2.14270	1942-0889
10.4161/cib.4.2.14279	1942-0889
10.4161/cib.4.2.14647	1942-0889
10.4161/cib.4.5.16256	null
10.4161/cib.4.5.16491	null
10.4161/cib.4.5.16721	null
10.4161/cl.21602	2159-2799
10.4161/cl.28114	2159-2799
10.4161/derm.1.1.7388	1938-1980
10.4161/derm.1.2.7811	1938-1980
10.4161/derm.1.3.9364	1938-1980
10.4161/derm.1.4.9653	1938-1980
10.4161/derm.1.4.9841	1938-1980
10.4161/derm.1.5.10193	1938-1980
10.4161/derm.20013	1938-1980
10.4161/derm.20361	1938-1980
10.4161/derm.20449	1938-1980
10.4161/derm.23321	1938-1980
10.4161/derm.24494	1938-1980
10.4161/epi.1.2.2762	1559-2294
10.4161/epi.2.1.3697	1559-2294
10.4161/epi.2.3.4841	1559-2294
10.4161/epi.21975	1559-2294
10.4161/epi.24113	1559-2294
10.4161/epi.25202	1559-2294
10.4161/epi.26026	1559-2294
10.4161/epi.26931	1559-2294
10.4161/epi.28530	1559-2294
10.4161/epi.3.1.5554	1559-2294
10.4161/epi.3.2.6103	1559-2294
10.4161/epi.3.2.6153	1559-2294
10.4161/epi.4.3.8534	1559-2294
10.4161/epi.5.2.10942	1559-2294
10.4161/epi.5.4.11518	1559-2294
10.4161/epi.5.6.12226	1559-2294
10.4161/epi.5.7.12762	1559-2294
10.4161/epi.5.8.12996	1559-2294
10.4161/epi.6.1.13390	1559-2294
10.4161/epi.6.11.18125	1559-2294
10.4161/epi.6.3.14378	1559-2294
10.4161/epi.6.5.15221	1559-2294
10.4161/epi.6.6.15905	1559-2294
10.4161/epi.6.7.16005	1559-2294
10.4161/epi.6.7.16315	1559-2294
10.4161/epi.6.7.16431	1559-2294
10.4161/epi.6.7.16499	1559-2294
10.4161/epi.6.7.16517	1559-2294
10.4161/epi.6.9.16069	1559-2294
10.4161/epi.7.3.19265	1559-2294
10.4161/fly.19695	1933-6934
10.4161/fly.3.1.7776	1933-6934
10.4161/fly.4.4.13008	1933-6934
10.4161/fly.6311	1933-6934
10.4161/fly.6621	1933-6934
10.4161/gmcr.1.1.9404	1938-1999
10.4161/gmcr.2.1.15086	1938-1999
10.4161/gmcr.2.2.16335	1938-1999
10.4161/gmcr.2.3.18931	1938-1999
10.4161/gmcr.20061	2164-5698
10.4161/gmcr.20715	2164-5698
10.4161/gmcr.21231	2164-5698
10.4161/gmcr.21406	2164-5698
10.4161/gmcr.21439	2164-5698
10.4161/gmic.1.3.12013	1949-0976
10.4161/gmic.1.4.12707	1949-0976
10.4161/gmic.1.6.13608	1949-0976
10.4161/gmic.1.6.13610	1949-0976
10.4161/gmic.19896	1949-0976
10.4161/gmic.23571	1949-0976
10.4161/gmic.25583	1949-0976
10.4161/gmic.27923	1949-0976
10.4161/gmic.28681	1949-0976
10.4161/hv.1.1.1425	1554-8600
10.4161/hv.1.3.1924	1554-8600
10.4161/hv.19795	2164-5515
10.4161/hv.19917	2164-5515
10.4161/hv.2.4.3196	1554-8600
10.4161/hv.20740	2164-5515
10.4161/hv.21405	2164-5515
10.4161/hv.21881	2164-5515
10.4161/hv.22062	2164-5515
10.4161/hv.23224	2164-5515
10.4161/hv.23637	2164-5515
10.4161/hv.23685	2164-5515
10.4161/hv.23800	2164-5515
10.4161/hv.23802	2164-5515
10.4161/hv.24382	2164-5515
10.4161/hv.24657	2164-5515
10.4161/hv.24696	2164-5515
10.4161/hv.24961	2164-5515
10.4161/hv.25085	2164-5515
10.4161/hv.25250	2164-5515
10.4161/hv.25280	2164-5515
10.4161/hv.25506	2164-5515
10.4161/hv.25788	2164-5515
10.4161/hv.25959	2164-5515
10.4161/hv.26269	2164-5515
10.4161/hv.26593	2164-5515
10.4161/hv.26676	2164-5515
10.4161/hv.26846	2164-5515
10.4161/hv.27243	2164-5515
10.4161/hv.27449	2164-5515
10.4161/hv.29590	2164-5515
10.4161/hv.3.3.4009	1554-8600
10.4161/hv.32247	2164-5515
10.4161/hv.34298	2164-5515
10.4161/hv.4661	1554-8600
10.4161/hv.5.10.9518	1554-8600
10.4161/hv.5.2.6924	1554-8600
10.4161/hv.6.10.13600	1554-8600
10.4161/hv.6.12.13076	1554-8600
10.4161/hv.6.6.11097	1554-8600
10.4161/hv.6.7.11278	1554-8600
10.4161/hv.7.11.16848	1554-8600
10.4161/hv.7.11.17017	1554-8600
10.4161/hv.7.11.17751	1554-8600
10.4161/hv.7.11.18203	1554-8600
10.4161/hv.7.5.15132	1554-8600
10.4161/hv.7.7.15511	1554-8600
10.4161/idp.24428	2169-0707
10.4161/idp.25496	2169-0707
10.4161/idp.26790	2169-0707
10.4161/isl.1.2.9578	1938-2014
10.4161/isl.1.3.9877	1938-2014
10.4161/isl.2.1.10259	1938-2014
10.4161/isl.3.2.14805	1938-2014
10.4161/jig.1.2.15048	2154-1280
10.4161/jig.19952	2154-1280
10.4161/jkst.22071	2162-3996
10.4161/jkst.23931	2162-3996
10.4161/jkst.25301	2162-3996
10.4161/jkst.27080	2162-3996
10.4161/mabs.1.1.7509	1942-0862
10.4161/mabs.1.2.7736	1942-0862
10.4161/mabs.1.2.7909	1942-0862
10.4161/mabs.1.3.8352	1942-0862
10.4161/mabs.1.3.8515	1942-0862
10.4161/mabs.1.3.8592	1942-0862
10.4161/mabs.1.3.8593	1942-0862
10.4161/mabs.1.4.8895	1942-0862
10.4161/mabs.1.4.9122	1942-0862
10.4161/mabs.1.5.9286	1942-0862
10.4161/mabs.1.5.9448	1942-0862
10.4161/mabs.1.5.9497	1942-0862
10.4161/mabs.1.5.9676	1942-0862
10.4161/mabs.1.6.10015	1942-0862
10.4161/mabs.1.6.10195	1942-0862
10.4161/mabs.1.6.9884	1942-0862
10.4161/mabs.2.1.10328	1942-0862
10.4161/mabs.2.2.11221	1942-0862
10.4161/mabs.2.2.11271	1942-0862
10.4161/mabs.2.2.11304	1942-0862
10.4161/mabs.2.3.11641	1942-0862
10.4161/mabs.2.3.11779	1942-0862
10.4161/mabs.2.5.12645	1942-0862
10.4161/mabs.2.6.13333	1942-0862
10.4161/mabs.28191	1942-0870
10.4161/mabs.3.5.16983	1942-0862
10.4161/mabs.4.2.18812	1942-0862
10.4161/mabs.4.2.19253	1942-0862
10.4161/mge.1.1.15868	2159-256X
10.4161/mge.1.2.17635	2159-256X
10.4161/mge.1.3.18229	2159-256X
10.4161/mge.19233	2159-256X
10.4161/mge.22797	2159-256X
10.4161/mge.25845	2159-256X
10.4161/nucl.1.3.11969	1949-1034
10.4161/nucl.2.2.15135	1949-1034
10.4161/nucl.20180	1949-1034
10.4161/nucl.26513	1949-1034
10.4161/nucl.36290	1949-1034
10.4161/onci.19268	2162-402X
10.4161/onci.21098	2162-402X
10.4161/onci.21716	2162-402X
10.4161/onci.22107	2162-402X
10.4161/onci.23082	2162-402X
10.4161/onci.24185	2162-402X
10.4161/onci.27360	2162-402X
10.4161/onci.27529	2162-402X
10.4161/org.25970	1547-6278
10.4161/org.27404	1547-6278
10.4161/org.27684	1547-6278
10.4161/org.29206	1547-6278
10.4161/org.3.1.3635	1547-6278
10.4161/org.4.2.5851	1547-6278
10.4161/org.5.3.9974	1547-6278
10.4161/org.6116	1547-6278
10.4161/oxim.2.4.9380	1942-0900
10.4161/oxim.3.3.12356	1942-0900
10.4161/pri.1.1.3974	1933-6896
10.4161/pri.19912	1933-6896
10.4161/pri.2.4.7489	1933-6896
10.4161/pri.2.4.7951	1933-6896
10.4161/pri.22118	1933-6896
10.4161/pri.25621	1933-6896
10.4161/pri.26746	1933-6896
10.4161/pri.29237	1933-6896
10.4161/pri.3.2.8587	1933-6896
10.4161/psb.1.3.2640	1559-2324
10.4161/psb.1.4.3221	1559-2324
10.4161/psb.1.5.3491	1559-2324
10.4161/psb.18842	1559-2324
10.4161/psb.2.1.3596	1559-2324
10.4161/psb.2.1.3734	1559-2324
10.4161/psb.2.4.4470	1559-2324
10.4161/psb.2.5.4335	1559-2324
10.4161/psb.2.5.4463	1559-2324
10.4161/psb.20912	1559-2324
10.4161/psb.21661	1559-2324
10.4161/psb.21824	1559-2324
10.4161/psb.21954	1559-2324
10.4161/psb.22704	1559-2324
10.4161/psb.24473	1559-2324
10.4161/psb.24526	1559-2324
10.4161/psb.27793	1559-2324
10.4161/psb.27886	1559-2324
10.4161/psb.28891	1559-2324
10.4161/psb.3.1.4888	1559-2324
10.4161/psb.3.12.6907	1559-2324
10.4161/psb.3.12.7184	1559-2324
10.4161/psb.3.4.5094	1559-2324
10.4161/psb.3.5.5292	1559-2324
10.4161/psb.3.7.5684	1559-2324
10.4161/psb.4.1.7315	1559-2324
10.4161/psb.4.11.9664	1559-2324
10.4161/psb.4.11.9872	1559-2324
10.4161/psb.4.5.8276	1559-2324
10.4161/psb.4.5.8293	1559-2324
10.4161/psb.4.6.8712	1559-2324
10.4161/psb.4.6.8848	1559-2324
10.4161/psb.4.8.9176	1559-2324
10.4161/psb.5.10.12608	1559-2324
10.4161/psb.5.10.12807	1559-2324
10.4161/psb.5.10.13062	1559-2324
10.4161/psb.5.11.13395	1559-2324
10.4161/psb.5.2.10457	1559-2324
10.4161/psb.5.2.11188	1559-2324
10.4161/psb.5.3.10548	1559-2324
10.4161/psb.5.3.10736	1559-2324
10.4161/psb.5.4.10803	1559-2324
10.4161/psb.5.6.11238	1559-2324
10.4161/psb.5.6.11398	1559-2324
10.4161/psb.5.6.11573	1559-2324
10.4161/psb.5.8.11772	1559-2324
10.4161/psb.5.9.12102	1559-2324
10.4161/psb.6.1.14186	1559-2324
10.4161/psb.6.12.18192	1559-2324
10.4161/psb.6.2.14701	1559-2324
10.4161/psb.6.6.15242doi:10.1371/journal.pone.0047518	null
10.4161/psb.6.8.15843	1559-2324
10.4161/rdis.24247	2167-5511
10.4161/rdis.24883	2167-5511
10.4161/rna.1.2.1066	1547-6286
10.4161/rna.19100	1547-6286
10.4161/rna.19160	1547-6286
10.4161/rna.19231	1547-6286
10.4161/rna.19317	1547-6286
10.4161/rna.19975	1547-6286
10.4161/rna.20090	1547-6286
10.4161/rna.20104	1547-6286
10.4161/rna.20345	1547-6286
10.4161/rna.20480	1547-6286
10.4161/rna.21630	1547-6286
10.4161/rna.22343	1547-6286
10.4161/rna.22578	1547-6286
10.4161/rna.22724	1547-6286
10.4161/rna.22757	1547-6286
10.4161/rna.22899	1547-6286
10.4161/rna.23019	1547-6286
10.4161/rna.23542	1547-6286
10.4161/rna.23764	1547-6286
10.4161/rna.24023	1547-6286
10.4161/rna.24045	1547-6286
10.4161/rna.24151	1547-6286
10.4161/rna.24321	1547-6286
10.4161/rna.24604	1547-6286
10.4161/rna.24765	1547-6286
10.4161/rna.24909	1547-6286
10.4161/rna.25246	1547-6286
10.4161/rna.25376	1547-6286
10.4161/rna.26214	1547-6286
10.4161/rna.26851	1547-6286
10.4161/rna.27100	1547-6286
10.4161/rna.27177	1547-6286
10.4161/rna.27488	1547-6286
10.4161/rna.28141	1547-6286
10.4161/rna.28239	1547-6286
10.4161/rna.28648	1547-6286
10.4161/rna.3.1.2559	1547-6286
10.4161/rna.3.4.3679	1547-6286
10.4161/rna.4.1.4300	1547-6286
10.4161/rna.4.1.4364	1547-6286
